Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R01.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R02.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R03.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R04.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R05.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R06.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R07.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R08.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R09.d
P36222	P36222	CH3L1_HUMAN	CHI3L1	Chitinase-3-like protein 1	1.02256e+06	978431	992241	979347	963051	980055	986662	954349	975433
P36871	P36871	PGM1_HUMAN	PGM1	Phosphoglucomutase-1	4726.44	5180.23	5710.94	5124.65	4300.55	5067.2	6672.79	5294.59	4974.71
P36896	P36896	ACV1B_HUMAN	ACVR1B	Activin receptor type-1B	1335.25	1499.78	1543.87	786.294	1340.57	1993.7	1045.53	3167.55	1743.34
P36897	P36897	TGFR1_HUMAN	TGFBR1	TGF-beta receptor type-1	2421.25	3512.7	1891.04	2694.35	2458.3	2130.97	3089.15	2114.07	1765.68
P36955	P36955	PEDF_HUMAN	SERPINF1	Pigment epithelium-derived factor	979066	1.03957e+06	1.01638e+06	1.01483e+06	993639	976186	953757	975877	1.10415e+06
P36957	P36957	ODO2_HUMAN	DLST	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	14040.3	11553.4	13672	13803	14852.1	14049.1	14101.6	13783.4	12767.6
P36980	P36980	FHR2_HUMAN	CFHR2	Complement factor H-related protein 2	29672.6	23642.9	20204.4	16064.2	21492.7	20763.5	27993.2	25398.1	47630.1
P36980;Q03591	Q03591;P36980	FHR1_HUMAN;FHR2_HUMAN	CFHR1;CFHR2	Complement factor H-related protein 2	128760	125003	124337	124799	126517	124907	114400	124778	93921.2
P37802	P37802	TAGL2_HUMAN	TAGLN2	Transgelin-2	7045.77	6386.46	5126.24	5361.28	5453.02	4697.63	5535.23	4252.27	5564.33
P37837	P37837	TALDO_HUMAN	TALDO1	Transaldolase	16052.4	13230.1	14191.6	14116	14692.3	14514.7	14365.5	13651.2	17783.8
P38571	P38571	LICH_HUMAN	LIPA	Lysosomal acid lipase/cholesteryl ester hydrolase	2048	2589.63	1369.36	2982.96	2261.96	4553.17	2522.87	2474.11	3074.94
P38646	P38646	GRP75_HUMAN	HSPA9	Stress-70 protein, mitochondrial	863.996	935.795	727.355	238.565	181.025	407.346	388.02	1562.51	290.685
P39059	P39059	COFA1_HUMAN	COL15A1	Collagen alpha-1(XV) chain	6563.09	6387.85	7496.45	6303.13	7057.41	7492.45	7828.52	6136.3	8540.44
P39060	P39060	COIA1_HUMAN	COL18A1	Collagen alpha-1(XVIII) chain	73709.4	68720.6	63137.4	62723.4	64394.2	64082	61931.6	70403.7	70296.2
P40121	P40121	CAPG_HUMAN	CAPG	Macrophage-capping protein	7120.72	6924.4	6379.67	6997.04	6714.81	6551.04	5752.19	6209	7946.67
P40189	P40189	IL6RB_HUMAN	IL6ST	Interleukin-6 receptor subunit beta	45911.7	45695.1	44671.4	41972.4	43410.1	41885	43538.1	43193.6	37773.5
P40925	P40925	MDHC_HUMAN	MDH1	Malate dehydrogenase, cytoplasmic	67993	63920.2	69518.6	62059.8	71141.2	54798.4	52640.8	52159	70979.4
P40926	P40926	MDHM_HUMAN	MDH2	Malate dehydrogenase, mitochondrial	3516.42	3885.87	3088.9	3311.23	4443.08	4179.39	4630.23	3533.1	2985.51
P41217	P41217	OX2G_HUMAN	CD200	OX-2 membrane glycoprotein	9095.87	9185.55	8344.1	9772.77	9262	9408.19	8398.86	10667.9	10272.8
P41222	P41222	PTGDS_HUMAN	PTGDS	Prostaglandin-H2 D-isomerase	3.47811e+06	3.2589e+06	3.13137e+06	3.02624e+06	3.04703e+06	3.00727e+06	3.09989e+06	3.14716e+06	3.43137e+06
P41271	P41271	NBL1_HUMAN	NBL1	Neuroblastoma suppressor of tumorigenicity 1	9484.6	15784	12702.3	16002.1	13851.5	14414.9	12072.6	8337.3	9281.17
P41586	P41586	PACR_HUMAN	ADCYAP1R1	Pituitary adenylate cyclase-activating polypeptide type I receptor	4002.25	3703.31	4930.21	4555.8	3804.02	2339.31	2686.42	4298.23	2850.19
P41732	P41732	TSN7_HUMAN	TSPAN7	Tetraspanin-7	343.23	359.179	530.678		178.132	103.289			
P42262	P42262	GRIA2_HUMAN	GRIA2	Glutamate receptor 2	4136.55	3850.66	4090.86	3929.35	4072.82	4219.15	2992.41	4593.8	5980.8
P42658	P42658	DPP6_HUMAN	DPP6	Dipeptidyl aminopeptidase-like protein 6	32962.8	34525.4	33544.3	33477	32325.7	35001.1	35250.9	34610.5	31224.7
P42785	P42785	PCP_HUMAN	PRCP	Lysosomal Pro-X carboxypeptidase	81885.8	84800	83955.4	85212.2	85050	85308.5	84929.9	85531.5	80532.6
P42857	P42857	NSG1_HUMAN	NSG1	Neuronal vesicle trafficking-associated protein 1	4789.07	4915.02	4461.18	3683.59	4266.52	4240.05	4533.23	4241.92	7471.38
P43004	P43004	EAA2_HUMAN	SLC1A2	Excitatory amino acid transporter 2	3792.45	1861.67	3452.2	2712.6	3643.32	6031.65	2612.96	3878.48	
P43121	P43121	MUC18_HUMAN	MCAM	Cell surface glycoprotein MUC18	52799.7	53714.8	53873.6	52799.5	55825.8	54158.5	54401.9	49410.1	55609.2
P43146	P43146	DCC_HUMAN	DCC	Netrin receptor DCC	14106.3	14249.8	14014.4	14086.2	15032.1	14059.6	13954.1	13541.3	13753.3
P43234	P43234	CATO_HUMAN	CTSO	Cathepsin O	17799.5	18182.7	19999.2	17916.7	18895.1	16507	18690.9	18344	17462.8
P43251	P43251	BTD_HUMAN	BTD	Biotinidase	122408	109841	105230	114516	114317	116378	111983	106264	145344
P43652	P43652	AFAM_HUMAN	AFM	Afamin	246522	252202	256630	266203	250097	254204	243924	226276	240479
P45877	P45877	PPIC_HUMAN	PPIC	Peptidyl-prolyl cis-trans isomerase C	3543.72	6870.88	5335.04	5901.89	4258.19	5417.91	5957.76	5400.59	8581.95
P45880	P45880	VDAC2_HUMAN	VDAC2	Voltage-dependent anion-selective channel protein 2	2722.6	1364.21	1094.46	743.314	733.372	767.758	1558.9	629.997	509.215
P45974	P45974	UBP5_HUMAN	USP5	Ubiquitin carboxyl-terminal hydrolase 5	2228.5	1140.71	775.17	639.618	1610.54	2008	1704.9	2638.65	3587.64
P46459	P46459	NSF_HUMAN	NSF	Vesicle-fusing ATPase	11791.2	7788.62	11531.2	8302.39	10578.7	7561.99	10601	7064.82	9354.01
P46531	P46531	NOTC1_HUMAN	NOTCH1	Neurogenic locus notch homolog protein 1	6735.13	6234.02	7744.71	6601.41	7222.06	6356.92	5483.79	6064.89	3372
P46926;Q8TDQ7	P46926;Q8TDQ7	GNPI1_HUMAN;GNPI2_HUMAN	GNPDA1;GNPDA2	Glucosamine-6-phosphate isomerase 1	1957.23	1236.33	3008.04	1942.89	926.541	2691.85	2037.28	1435.41	1778.39
P46977	P46977	STT3A_HUMAN	STT3A	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A	549.473	268.285	726.049		833.027		587.346	739.251	821.355
P47972	P47972	NPTX2_HUMAN	NPTX2	Neuronal pentraxin-2	25386.8	27782.4	26973.7	29297.2	28978.6	30167.7	29920.6	32104.2	35617.6
P47972;Q15818	Q15818;P47972	NPTX1_HUMAN;NPTX2_HUMAN	NPTX1;NPTX2	Neuronal pentraxin-2	11672.3	10320.3	11046.1	9315.93	10271.3	7222.13	10372.7	9591.48	7027.42
P48058	P48058	GRIA4_HUMAN	GRIA4	Glutamate receptor 4	42307.9	46841.6	50800.7	48883.5	46300.9	46161.5	44846.8	44648	46657.8
P48061	P48061	SDF1_HUMAN	CXCL12	Stromal cell-derived factor 1	15667.2	16927.7	16057.9	15417.1	15767.5	15651.6	17808.7	15894	23099.3
P48147	P48147	PPCE_HUMAN	PREP	Prolyl endopeptidase	4427.27	4185.77	3266.32	4027.48	3483.49	3957.16	2948.4	4098.84	3268.88
P48163	P48163	MAOX_HUMAN	ME1	NADP-dependent malic enzyme	1499.7	2126.03	2751.47	2231.05	3049.57	1799.28	2355.52	1862.51	1969.43
P48637	P48637	GSHB_HUMAN	GSS	Glutathione synthetase	2864.53	3715.96	4426.51	3067.91	4513.74	4266.02	4644.69	3965.15	2909.41
P48723	P48723	HSP13_HUMAN	HSPA13	Heat shock 70 kDa protein 13	16698.2	17813.4	22602.5	19163.9	19330.1	20666.9	20054	18672.1	15500
P48740	P48740	MASP1_HUMAN	MASP1	Mannan-binding lectin serine protease 1	20193	20517	20132.8	19696	21362.7	20347.5	19332.8	19486.3	20405.2
P48745	P48745	CCN3_HUMAN	CCN3	CCN family member 3	96521.1	98970.3	92692.7	92377.3	93687.9	92869.3	93614.8	94229.2	89602
P49184	P49184	DNSL1_HUMAN	DNASE1L1	Deoxyribonuclease-1-like 1	2374.63	1978.14	2867.69	3135.1	3309.07	2087.17	1973.79	2773.65	2703.83
P49247	P49247	RPIA_HUMAN	RPIA	Ribose-5-phosphate isomerase	1051.11	2253.98	2841.31	2922.87	2432.36	2679.71	4662.97	3787.79	4238.81
P49257	P49257	LMAN1_HUMAN	LMAN1	Protein ERGIC-53	16957	16865.7	15431.9	18190.3	16418.8	16143.3	15520.6	15895.2	23560.5
P49418	P49418	AMPH_HUMAN	AMPH	Amphiphysin	1561.1	1096.03	1416.2	1120.16	1114.67	1377.79	427.445	977.699	768.516
P49588	P49588	SYAC_HUMAN	AARS1	Alanine--tRNA ligase, cytoplasmic	2802.47	780.572	706.326	614.039	1078.93	573.727	667.036		919.65
P49641	P49641	MA2A2_HUMAN	MAN2A2	Alpha-mannosidase 2x	43039.1	43925.5	46436.1	47461.6	45210.9	46573.5	46148.9	43787.4	37967
P49641;Q16706	P49641;Q16706	MA2A1_HUMAN;MA2A2_HUMAN	MAN2A1;MAN2A2	Alpha-mannosidase 2x	2575.42	2171.16	1764.82	2201.36	1883.21	2114.21	1794.2	937.859	3144.14
P49720	P49720	PSB3_HUMAN	PSMB3	Proteasome subunit beta type-3	1468.39	1181.75	930.52	1336.47	1496	1174.28	1417.4	1320.02	1943.83
P49721	P49721	PSB2_HUMAN	PSMB2	Proteasome subunit beta type-2	4789.32	3976.16	4156.73	5150.26	4383.86	3549.92	3779.4	3900.35	4963.2
P49746	P49746	TSP3_HUMAN	THBS3	Thrombospondin-3	2334.3	3029.12	2537.61	2177.46	1325.01	2719.82	2649.61	2683.12	1782.11
P49747	P49747	COMP_HUMAN	COMP	Cartilage oligomeric matrix protein	14285.8	15016.4	15789.2	15721.6	17339.5	15017.4	16055.8	15924.8	18266.9
P49763	P49763	PLGF_HUMAN	PGF	Placenta growth factor	1435.2	1936.93	1276.02	570.986	1342.19	2311.23	1535.21	1395	641.605
P49767	P49767	VEGFC_HUMAN	VEGFC	Vascular endothelial growth factor C	821.968	1335.39	1684.39	1766.68	1635.1	1786.12	1112.02	821.245	766.139
P49862	P49862	KLK7_HUMAN	KLK7	Kallikrein-7	4144.13	4428.23	4299.77	4776.54	5092.76	4541.36	5462.91	3867.14	4640.41
P49908	P49908	SEPP1_HUMAN	SELENOP	Selenoprotein P	16395.7	16478.6	16840.7	15505.5	17332.5	14894.9	16081.3	15560.4	15779.2
P50238	P50238	CRIP1_HUMAN	CRIP1	Cysteine-rich protein 1	637.787	503.567	977.818	703.46	1184.91	555.519	419.453	856.513	534.662
P50281	P50281	MMP14_HUMAN	MMP14	Matrix metalloproteinase-14	1091.61	873.809	516.448	1029.03	1161		700.895	1038.47	527.23
P50395	P50395	GDIB_HUMAN	GDI2	Rab GDP dissociation inhibitor beta	2055.67	1953.75	1999.16	1691.56	1673.52	1894.74	1695.19	1807.28	2252.2
P50502	Q8IZP2;P50502	F10A1_HUMAN	ST13	Hsc70-interacting protein	4570.72	3249.93	3654.94	4523.25	3167.22	3426.96	3132.3	3525.57	1148.73
P50895	P50895	BCAM_HUMAN	BCAM	Basal cell adhesion molecule	14306.8	13560.7	14211.3	14339.6	14913.5	15127	13961.1	14576.2	16603.4
P50897	P50897	PPT1_HUMAN	PPT1	Palmitoyl-protein thioesterase 1	6498.15	6725.13	6595.32	6189.85	7260.22	7472.03	6846.04	5832.23	5124.06
P50991	P50991	TCPD_HUMAN	CCT4	T-complex protein 1 subunit delta	3558.15	1066.87	789.211						
P50993	P50993	AT1A2_HUMAN	ATP1A2	Sodium/potassium-transporting ATPase subunit alpha-2	1212.7	1769.98	1589.36	1097.02	1536.08	1424.16	1789.97	1017.42	1960.2
P51674	P51674	GPM6A_HUMAN	GPM6A	Neuronal membrane glycoprotein M6-a	5724.14	6602.85	6383.47	7149.03	7606.89	6621.34	6479.7	4532.58	7961.29
P51693	P51693	APLP1_HUMAN	APLP1	Amyloid-like protein 1	558509	547637	534366	529650	542444	539766	516046	548152	726488
P51805	P51805	PLXA3_HUMAN	PLXNA3	Plexin-A3	655.285	947.872	966.281	1306	1230.01	1742.96	1289.9	709.329	1923.58
P51884	P51884	LUM_HUMAN	LUM	Lumican	355379	382512	363907	364652	348147	370026	338099	317754	353492
P51888	P51888	PRELP_HUMAN	PRELP	Prolargin	22550.3	21527	21198.2	19899.9	22069.3	21599.7	20453.8	21380.9	23688.7
P52209	P52209	6PGD_HUMAN	PGD	6-phosphogluconate dehydrogenase, decarboxylating	1210.74	1106.9	1109.98	863.453	1551.6	1047.46	1357.53	1002.54	599.61
P52566	P52566	GDIR2_HUMAN	ARHGDIB	Rho GDP-dissociation inhibitor 2	1217.25	949.866	943.384	1108.23	1355.67	1215.35	1048.34	1787.6	
P52758	P52758	RIDA_HUMAN	RIDA	2-iminobutanoate/2-iminopropanoate deaminase	1510.51	1681.2	2305.64	2052.71	1605.14	1600.97	1189.81	1779.53	1776.46
P52797	P52797	EFNA3_HUMAN	EFNA3	Ephrin-A3		5563.72	6497.23	5845.6	5681.18	8926.83			
P52799	P52799	EFNB2_HUMAN	EFNB2	Ephrin-B2	31990.7	31513.6	32498.9	27817.5	30994.5	30895.8	24710.7	31766.2	36896.9
P52803	P52803	EFNA5_HUMAN	EFNA5	Ephrin-A5	1224.74	1535.34	1298.8	1687.03	1731.27	1688.68	1022.79	1960.28	1125.15
P52823	P52823	STC1_HUMAN	STC1	Stanniocalcin-1	5547.99	4895.21	4276.17	6066.09	6060.49	4596.45	5171.47	5380.34	6054.77
P52848	P52848	NDST1_HUMAN	NDST1	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1	5685.81	3938.38	5059.74	4062.55	5772.05	5722.65	5796.08	6290.31	6152.57
P52907	P52907;P47755	CAZA1_HUMAN	CAPZA1	F-actin-capping protein subunit alpha-1	2510.64	1784.27	1364.35	1766.14	2243.54	2355.05	2921.29	2177.74	1313.5
P53041	P53041	PPP5_HUMAN	PPP5C	Serine/threonine-protein phosphatase 5	2505.43	2225.48	2161.04	2028.4	1612.78	2815.08	2217.06	1610.34	1709.18
P53367	P53367	ARFP1_HUMAN	ARFIP1	Arfaptin-1	18277.6	10098.2	11776.1	5330.38	8935.79	8771.64	36493	38592.5	
P53634	P53634	CATC_HUMAN	CTSC	Dipeptidyl peptidase 1	20651.5	19778.1	20213.9	21827.9	19528.8	21676.6	20735.7	21439	19401.9
P53801	P53801	PTTG_HUMAN	PTTG1IP	Pituitary tumor-transforming gene 1 protein-interacting protein	3186.65	3540.91	3771.49	4860.89	3307.23	4736.61	6027.75	4912.61	5395.55
P54108	P54108	CRIS3_HUMAN	CRISP3	Cysteine-rich secretory protein 3	3093.55	3774.07	2838.76	4507.61	2579.28	1376.08	1274.64	2793.08	11612.2
P54289	P54289	CA2D1_HUMAN	CACNA2D1	Voltage-dependent calcium channel subunit alpha-2/delta-1	144668	139081	138846	134694	135699	131240	134743	129569	135637
P54289;Q9NY47	P54289;Q9NY47	CA2D1_HUMAN;CA2D2_HUMAN	CACNA2D1;CACNA2D2	Voltage-dependent calcium channel subunit alpha-2/delta-1	13717	13112.7	14856.5	12829.6	14945	14870.7	14419.2	14408.3	13795.8
P54727	P54727	RD23B_HUMAN	RAD23B	UV excision repair protein RAD23 homolog B	399.648	124.859	618.865		791.905	599.131	791.44		1272.11
P54756	P54756	EPHA5_HUMAN	EPHA5	Ephrin type-A receptor 5	4411.53	3939.01	3963.97	4550.69	4605.47	5049.96	4884.12	5479.94	6300.01
P54756;Q15375	P54756;Q15375	EPHA5_HUMAN;EPHA7_HUMAN	EPHA5;EPHA7	Ephrin type-A receptor 5	5850.58	7202.36	7211.62	7968.02	6689.23	8034.33	9309.89	7730.53	9291.98
P54764	P54764	EPHA4_HUMAN	EPHA4	Ephrin type-A receptor 4	97983.7	99396	91701.6	77798.4	88123.8	100229	90618.8	95312.9	99934.1
P54802	P54802	ANAG_HUMAN	NAGLU	Alpha-N-acetylglucosaminidase	24096.2	24276.7	23888.4	24798.5	25071	23516.5	24531.1	23012.8	19970.6
P54803	P54803	GALC_HUMAN	GALC	Galactocerebrosidase	5771.41	5758.17	3641.77	4906.31	6925.33	4851.7	4967.42	3576.05	7157.96
P54826	P54826	GAS1_HUMAN	GAS1	Growth arrest-specific protein 1	1493.03	1312.15	1827.97	750.618	904.995	954.135	914.642	1147.75	1427.17
P55000	P55000	SLUR1_HUMAN	SLURP1	Secreted Ly-6/uPAR-related protein 1	1340.48	2867.36	2170.13	2469.6	1638.49	1629.16	1570.18	1033.65	1668.22
P55001	P55001	MFAP2_HUMAN	MFAP2	Microfibrillar-associated protein 2	8285.01	9828.1	6140.58	11333.9	5510.18	10614.8	8840.19	9937.33	10123.8
P55011	P55011	S12A2_HUMAN	SLC12A2	Solute carrier family 12 member 2	425.762			303.881			523.962		3474.42
P55058	P55058	PLTP_HUMAN	PLTP	Phospholipid transfer protein	200949	201425	197212	189095	194724	190849	192022	195169	190322
P55083	P55083	MFAP4_HUMAN	MFAP4	Microfibril-associated glycoprotein 4	130548	123754	123008	123350	133137	109419	110831	94555.1	80313.8
P55087	P55087	AQP4_HUMAN	AQP4	Aquaporin-4	9104.21	7671.95	6943.68	11963.6	10601.4	8240	11356.7	11297.4	5543
P55160	P55160	NCKPL_HUMAN	NCKAP1L	Nck-associated protein 1-like	362.987	1224.87		237.772	182.042	259.221	723.854		173.326
P55268	P55268	LAMB2_HUMAN	LAMB2	Laminin subunit beta-2	22535.1	21002.5	21731.4	20415	23253.8	21380.7	22656.9	22188.3	22041
P55283	P55283	CADH4_HUMAN	CDH4	Cadherin-4	8664.31	7805.3	7763.64	7118.45	6815.31	7689.09	6580.23	6734.57	8282.78
P55285	P55285	CADH6_HUMAN	CDH6	Cadherin-6	24789.7	25041.5	24392.2	23379.2	23280.7	22685.5	23061.4	22026.8	21409.5
P55285;Q9ULB4;Q9Y6N8	P55285;Q9ULB4;Q9Y6N8	CAD10_HUMAN;CADH6_HUMAN;CADH9_HUMAN	CDH10;CDH6;CDH9	Cadherin-6	1060.25	742.169	722.085	718.284	481.302	279.104	282		1442.03
P55286	P55286	CADH8_HUMAN	CDH8	Cadherin-8	6590.19	4974.69	7402.61	6486	6407.5	5962.06	5721.38	4622.76	9169.44
P55287	P55287	CAD11_HUMAN	CDH11	Cadherin-11	26894.7	26466	27216.7	27790.5	27376	28803.6	26728	29369.5	28786.4
P55289	P55289	CAD12_HUMAN	CDH12	Cadherin-12	2174.16	3060.45	4226.85	3093.48				3932.69	4219.25
P55290	P55290	CAD13_HUMAN	CDH13	Cadherin-13	27060.4	23744.3	25402	25204	25213.8	24091.2	26097.6	26385.3	40985.3
P55291	P55291	CAD15_HUMAN	CDH15	Cadherin-15	31578.3	31958.6	29708.1	31349.1	30824.3	29981.4	30027	31498.5	31470.6
P55786	P55786;A6NEC2	PSA_HUMAN	NPEPPS	Puromycin-sensitive aminopeptidase	14311	14743.5	14749.2	14999.7	13425.3	15558.3	14864	15583.5	14550.1
P55957	P55957	BID_HUMAN	BID	BH3-interacting domain death agonist	1137.14	1191	1112.73	1136.23	1420.82	945.988	881.159	1821.9	830.461
P56159	P56159	GFRA1_HUMAN	GFRA1	GDNF family receptor alpha-1	4532.58	5631.38	5638.94	3874.68	5900.94	5297.82	5549	3453.15	3657.19
P56537	P56537	IF6_HUMAN	EIF6	Eukaryotic translation initiation factor 6	3402.52	608.723		662.52	382.468	308.73	772.72	501.772	
P56705	P56705	WNT4_HUMAN	WNT4	Protein Wnt-4	505.323		273.958						994.819
P56817	P56817	BACE1_HUMAN	BACE1	Beta-secretase 1			788.161		688.673	627.753	714.52	472.498	979.198
P56975	P56975	NRG3_HUMAN	NRG3	Pro-neuregulin-3, membrane-bound isoform	1887.19	2161.17	1619.06	2287.75	1727.77	2305.91	2041.79	1510.38	2125.42
P57087	P57087	JAM2_HUMAN	JAM2	Junctional adhesion molecule B	8681.8	12003.7	8091.02	8304.83	9250.27	8661.34	9425.83	6563.08	8007.92
P58012	P58012	FOXL2_HUMAN	FOXL2	Forkhead box protein L2	2591.66	2859.4	2313.8	2538.56	2087.1		1695.86	2044.37	684.499
P58215	P58215	LOXL3_HUMAN	LOXL3	Lysyl oxidase homolog 3	2997.81	3001.48	2581.62	2241.16	2984.19	2030.25	2740.88	2819.75	2631.65
P58417	P58417	NXPH1_HUMAN	NXPH1	Neurexophilin-1	30496.4	31789.8	36452.2	30534.5	33354.1	30220.1	31849.8		
P58546	P58546	MTPN_HUMAN	MTPN	Myotrophin	889.058	982.269	343.048	971.912	749.831	536.355	930.996	1208.43	669.314
P59665	P59666;P59665	DEF1_HUMAN	DEFA1B	Neutrophil defensin 1	13967.3	13072.6	12971	13130.5	13195.3	13243.6	15630	14536	19008.3
P60022	P60022	DEFB1_HUMAN	DEFB1	Beta-defensin 1	422.194				221.963	253.53	209.164	742.738	351.756
P60033	P60033	CD81_HUMAN	CD81	CD81 antigen	11330.2	13169.3	13207.5	14477.7	13888.3	14152.9	15341.1	14660.4	10974.6
P60174	P60174	TPIS_HUMAN	TPI1	Triosephosphate isomerase	32186.4	28743	28089	25875.1	28054.9	30037.1	31403.6	30722.2	31833.3
P60201	P60201	MYPR_HUMAN	PLP1	Myelin proteolipid protein	1431.34	2328.92	3278.09	3430.79	2850.83	1909.72	2334.67	3068.33	3930.57
P60520	P60520	GBRL2_HUMAN	GABARAPL2	Gamma-aminobutyric acid receptor-associated protein-like 2	2952.64	2493.82	1943.32	2375.86	2282.41	2175.25	3171.01	2955.38	2639.15
P60660	P60660	MYL6_HUMAN	MYL6	Myosin light polypeptide 6	1496.07	597.554	332.054	734.225	803.889	500.753		596.128	552.763
P60709;P63261	P60709;P63261	ACTB_HUMAN;ACTG_HUMAN	ACTB;ACTG1	Actin, cytoplasmic 1	65863.1	62827.2	64436.5	60460	64626.1	59997.9	62860.3	64074	56514.8
P60709;P63261;P63267	Q562R1;P62736;P63267;P68032;P60709;P63261	ACTB_HUMAN;ACTG_HUMAN;ACTH_HUMAN	ACTB;ACTG1;ACTG2	Actin, cytoplasmic 1	87263	90016.5	94921.3	74187.7	86354.6	81099.9	83456.2	97236.6	111493
P60842	P60842	IF4A1_HUMAN	EIF4A1	Eukaryotic initiation factor 4A-I	6862.87	6163.58	4943.26			3945.59	2849.18	947.651	
P60880	P60880	SNP25_HUMAN	SNAP25	Synaptosomal-associated protein 25	430.258	371.779	746.233	363.255	590.662	243.423	613.178	573.904	114.886
P60900	P60900	PSA6_HUMAN	PSMA6	Proteasome subunit alpha type-6	1530.65	2531.78	2212.97	1921.16	1259.62	1789.05	1655.91	1692.83	2392.29
P60983	P60983	GMFB_HUMAN	GMFB	Glia maturation factor beta	3500.15	2762.48	2905.53	3529.8	3583.86	2639.84	3415.05	2390.26	2798.19
P61088	P61088	UBE2N_HUMAN	UBE2N	Ubiquitin-conjugating enzyme E2 N	1576.7	2562.94	3076.83	2753.58	2755.83	2985.84	3400.46	1952.72	2966.61
P61204;P84077	P84077;P61204	ARF1_HUMAN;ARF3_HUMAN	ARF1;ARF3	ADP-ribosylation factor 3	1224.82	1389.75	1009.21	1196.77	956.946	1207.39	1436.95	783.047	1868.34
P61266	P61266	STX1B_HUMAN	STX1B	Syntaxin-1B	1935.32	1481.32	1769.29	1825.87	2293.6	1317.15	2351.67	2704.11	1876.18
P61278	P61278	SMS_HUMAN	SST	Somatostatin	247553	190873	167801	238363	157491	230615	13294.8	11696.1	
P61513	P61513	RL37A_HUMAN	RPL37A	60S ribosomal protein L37a	4202.25	1615.81	553.714	533.784		218.091			
P61626	P61626	LYSC_HUMAN	LYZ	Lysozyme C	68262.4	61112	54786.2	54986.7	59767.1	53165.6	61648.5	60427.4	90163.4
P61769	P61769	B2MG_HUMAN	B2M	Beta-2-microglobulin	420238	413763	426894	418644	369115	379764	435040	358532	646268
P61812	P61812	TGFB2_HUMAN	TGFB2	Transforming growth factor beta-2 proprotein	789.677	851.387	1273.57	1161.68	1586.97	1082.54	1553.7	1012.86	1354.18
P61916	P61916	NPC2_HUMAN	NPC2	NPC intracellular cholesterol transporter 2	451201	480171	420909	438699	439469	461595	431693	462007	407630
P61956	P61956	SUMO2_HUMAN	SUMO2	Small ubiquitin-related modifier 2	700.35	753.942	721.972	394.274	518.204	568.449	117.11		
P61960	P61960	UFM1_HUMAN	UFM1	Ubiquitin-fold modifier 1	1330.55	937.286		682.133	1360.11	1108.38	845.961	674.35	
P61970	P61970	NTF2_HUMAN	NUTF2	Nuclear transport factor 2	7010.93	7584.59	6459.26	7294.22	6282.32	6831.45	6606.78	6304.73	4878.3
P61978	P61978	HNRPK_HUMAN	HNRNPK	Heterogeneous nuclear ribonucleoprotein K	1284.04	824.662	817.813	1137.47	761.996	393.214	793.608	736.388	330.951
P61981	P61981	1433G_HUMAN	YWHAG	14-3-3 protein gamma	3673.88	4164.22	5255.59	4897.56	4736.25	3962.36	2829.86	2550.61	3189.74
P62258	P62258	1433E_HUMAN	YWHAE	14-3-3 protein epsilon	7498.5	8758.79	6877.81	6820.42	5957.58	5452.13	6026.86	6911.62	4439.42
P62328	P62328	TYB4_HUMAN	TMSB4X	Thymosin beta-4	8776.14	9768.49	8917.62	9139.83	8397.57	8703.02	6979.28	9771.13	
P62495	P62495	ERF1_HUMAN	ETF1	Eukaryotic peptide chain release factor subunit 1	1179.94	1848.87	1371.31	916.614	1092.28	796.689	1141.01	770.175	498.46
P62820;Q92928;Q9H0U4	P62820;Q9H0U4;Q92928	RAB1A_HUMAN;RAB1B_HUMAN;RAB1C_HUMAN	RAB1A;RAB1B;RAB1C	Ras-related protein Rab-1A	3256.44	2202.86	2505.22	3565.37	3024.96	3129.31	2505.52	3060.24	2894.36
P62873	P62873	GBB1_HUMAN	GNB1	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	1357.42	1425.49	1122.82	883.789	1561.8	1147.26	1383.46	1705.14	975.318
P62899	P62899	RL31_HUMAN	RPL31	60S ribosomal protein L31	805.941						749.002		
P62937	P62937	PPIA_HUMAN	PPIA	Peptidyl-prolyl cis-trans isomerase A	41164.2	39734.2	40402.7	43052.7	43580.4	36399.8	41301.9	42356.5	39529.4
P62942	P62942	FKB1A_HUMAN	FKBP1A	Peptidyl-prolyl cis-trans isomerase FKBP1A	2640.09	2659.29	2579.93	3041.45	3144.23	3820.81	2098.3	2231.05	2134.76
